article_id,id,title,publisher,url,locator,kind,local_path,retrieved_at,sha256
energy,energy-policy,エネルギー白書2025 日本のエネルギー政策,資源エネルギー庁,https://www.enecho.meti.go.jp/about/whitepaper/2025/html/2-0-0.html,第2部 はじめに。公式検索本文を確認、HTML原本は取得経路で403,whitepaper,,2026-09-22,
energy,energy-gx,エネルギー白書2025 GXと日本の取組,資源エネルギー庁,https://www.enecho.meti.go.jp/about/whitepaper/2025/html/1-2-0.html,第1部第2章。公式検索本文を確認、HTML原本は取得経路で403,whitepaper,,2026-09-22,
energy,energy-location,DX・GXを踏まえたエネルギー・産業政策,資源エネルギー庁,https://www.enecho.meti.go.jp/about/whitepaper/2025/html/1-2-2.html,第1部第2章第2節：ワット・ビット連携,whitepaper,,2026-09-22,
energy,energy-fukushima,エネルギー白書2025 福島復興の進捗,資源エネルギー庁,https://www.enecho.meti.go.jp/about/whitepaper/2025/html/1-1-0.html,第1部第1章。章立て・概要で確認、本文全体の原本取得は未了,whitepaper,,2026-09-22,
energy,energy-stat-summary,2024年度エネルギー需給実績（確報）概要,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391289&fileKind=2,2026年4月14日公表。PDF7頁自給率、8頁CO₂、2・6頁最終消費,original_statistics,raw/energy/energy-supply-demand-2024-summary.pdf,2026-09-22,bd6f33b998aa00897692cec5e90a3906b98935733edbdba0a472742f994f8d7f
energy,energy-balance-2010,総合エネルギー統計 2010年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040189526&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2010-simple.xlsx,2026-09-22T09:55:20.713758+00:00,ff585fa099c3b8d74ee0c54f28c9997d4886b3a1e2d68ac90550b1bf2dc29c27
energy,energy-balance-2011,総合エネルギー統計 2011年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188195&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2011-simple.xlsx,2026-09-22T09:55:20.721321+00:00,2bd18f82de1783c16f157bc5dfa77dd4f70eaecb3b99e0344d1cc0f05a66d7d0
energy,energy-balance-2012,総合エネルギー統計 2012年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188193&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2012-simple.xlsx,2026-09-22T09:55:20.410551+00:00,f5a6246a46476d4ea67899a4e2ed61426a988fc15d4824daee8fa4d6ffcefb12
energy,energy-balance-2013,総合エネルギー統計 2013年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188190&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2013-simple.xlsx,2026-09-22T09:55:20.376428+00:00,db238adf8d707146f6778a9e14e2c9c6ac00b6349599832c56f1cd51d4f0fda3
energy,energy-balance-2014,総合エネルギー統計 2014年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188189&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2014-simple.xlsx,2026-09-22T09:55:20.317605+00:00,3e89d6a3c34f49df938c51b23f3b200e1471a636df6e26d30e841547ad241729
energy,energy-balance-2015,総合エネルギー統計 2015年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188185&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2015-simple.xlsx,2026-09-22T09:55:20.323260+00:00,520bf4073007eb1f8b975a38c2083cbf534b4a50f9e3d7714eccd3ed274b6e8e
energy,energy-balance-2016,総合エネルギー統計 2016年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188183&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2016-simple.xlsx,2026-09-22T09:55:20.032124+00:00,9bb42e93fbf7f03925173a7b02ada727717ca7f82670fd904d6ee33a7caf5f0c
energy,energy-balance-2017,総合エネルギー統計 2017年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040188181&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2017-simple.xlsx,2026-09-22T09:55:19.957423+00:00,10a4333904575931360126569b051e17ab249272ead922fa0545a6dc8b5ca980
energy,energy-balance-2018,総合エネルギー統計 2018年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000031964212&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2018-simple.xlsx,2026-09-22T09:55:19.945296+00:00,1d5cfc01375d816f5f6903d2d638aec523566ba69eb24a28b79d08286772f86f
energy,energy-balance-2019,総合エネルギー統計 2019年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032039650&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2019-simple.xlsx,2026-09-22T09:55:19.938006+00:00,f751bf3b6f30a7bf685d69a11fd4d63ec1f06ddad78805a1a9b6ff8150adab65
energy,energy-balance-2020,総合エネルギー統計 2020年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000032190958&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2020-simple.xlsx,2026-09-22T09:55:19.562357+00:00,5a1e753de3cc74e311a864d6d1aaa4997689f2b978e8768410db598f81f61e7c
energy,energy-balance-2021,総合エネルギー統計 2021年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040054160&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2021-simple.xlsx,2026-09-22T09:55:19.551139+00:00,53d299bec9e9beb4163f7a25074cae59c46dd19387f4f21b7313007c25b4a266
energy,energy-balance-2022,総合エネルギー統計 2022年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040125366&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2022-simple.xlsx,2026-09-22T09:55:19.599564+00:00,0f220e15f60edbbd0e6879e6c92a40ce2ba40319f0d2a2c9bb74edb8af850ba4
energy,energy-balance-2023,総合エネルギー統計 2023年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040226474&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2023-simple.xlsx,2026-09-22T09:55:19.566375+00:00,42c29802a859eeea3123ac87e2b948303c6be30bfd5d362747bde5d72f92d1ed
energy,energy-balance-2024,総合エネルギー統計 2024年度 簡易表,資源エネルギー庁（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040391290&fileKind=0,2026-04-14改訂。炭素単位表#19・#08の$1401、エネルギー単位表の最終消費,original_statistics,raw/energy/energy-balance-2024-simple.xlsx,2026-09-22T09:55:19.162995+00:00,816d7d3e5933ffe94b0cbd7b47fa7fa232fb98fbed2a610f4928c4aa7a2d2008
wages,wages-sme-explanation,2026年版中小企業白書・小規模企業白書について（中小企業庁担当室長説明資料）,中小企業庁調査室 岡田直也／RIETI掲載,https://www.rieti.go.jp/jp/events/bbl/26061101_okada.pdf,2026年6月11日。PDF物理p.3–5、p.9–17、p.25。白書本文のページ番号ではない。,official_explanation,raw/industry-sme/sme-small-2026-overview-rieti.pdf,2026-09-22T09:55:35.504265+00:00,17fcdfe9e9ec76244c8931828a32e0c7b99f1195499b4d395e209a6ffb9162be
wages,wages-sme-summary,2026年版中小企業白書及び小規模企業白書について（国会提出概要）,中小企業庁調査室／衆議院掲載,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/gian_hokoku/20260424kigyogaiyo.pdf/%24File/20260424kigyogaiyo.pdf,PDF物理p.2、概要(1)–(3)。第1ページは空白。,official_summary,raw/industry-sme/sme-small-2026-overview-parliament.pdf,2026-09-22T09:55:35.201974+00:00,5e5b4e01406d62b59b2ea41c89bdcf71e5c4c950ee71809a72dcac4137e6c7a8
wages,wages-mhlw-timeseries,毎月勤労統計調査 2025年12月確報 時系列表第1表 賃金指数,厚生労働省,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/xls/2512t01r.xlsx,シート「賃金指数」A9:A12、D9:E12。事業所規模5人以上・調査産業計・現金給与総額。,original_statistics,raw/context/wages-2025-final.xlsx,2026-09-22T09:54:29.577329+00:00,6eb5b388ce24efcf38d766e7363edc99bd7fb18c42d67a25cbd052f768770bf2
wages,wages-mhlw-notes,毎月勤労統計調査 2025年12月確報 概況・利用上の注意,厚生労働省,https://www.mhlw.go.jp/toukei/itiran/roudou/monthly/r07/2512r/dl/pdf2512r.pdf,PDF物理p.2注2・注7、p.10時系列表第1表。2024年ベンチマーク更新、実質賃金の定義。,original_statistics,raw/context/wages-2025-final.pdf,2026-09-22T09:54:29.707364+00:00,ddeda40817b9edf89efaa3988414921ea8cb8bc6a959d44668bd8a1605c991d7
industry,industry-overview,2026年版ものづくり白書 概要,経済産業省・厚生労働省・文部科学省,https://www.shugiin.go.jp/internet/itdb_gian.nsf/html/gian/gian_hokoku/20260529monogaiyo.pdf/%24File/20260529monogaiyo.pdf,PDF2〜9頁（紙面1〜8頁）：目次、投資、AI、経済安全保障、人材 技能継承はPDF物理10頁。,official_summary,raw/industry-sme/mono-2026-overview.pdf,2026-09-22,29bc3e271d1c8cfc1ada08a18867d3bc7cfd89a715e1f19258d5828821e72c85
industry,industry-explanation-2026,2026年版ものづくり白書について,経済産業省製造産業局（RIETI掲載）,https://www.rieti.go.jp/jp/events/bbl/26062601_arakawa.pdf,PDF3〜4頁、22頁、29頁：編集の柱、製造AX拠点、経済安全保障,official_explanation,raw/industry-article/meti-explanation-2026.pdf,2026-09-22,b22959d3f707ed376b4f96a2e04d508951379b77ac64e1635d39f6a05de25587
industry,industry-mhlw,2026年版ものづくり白書 厚生労働省担当パート,厚生労働省,https://www.mhlw.go.jp/stf/houdou/newpage_00229.html,能力開発、人材確保・定着、技能継承のポイント,official_summary,raw/industry-sme/mhlw-mono-2026-index.html,2026-09-22,fd5131ae445113fbb47950e340747d8ef7de08d5252f3f8bdfda8f7a7db452e3
industry,industry-iip,鉱工業指数 年・年度・四半期（2020年基準）,経済産業省（e-Stat掲載）,https://www.e-stat.go.jp/stat-search/file-download?statInfId=000040172370&fileKind=0,2026年9月14日公表版、生産計・出荷計、2018CY〜2025CY,original_statistics,raw/industry-sme/iip-industry-annual-quarterly-original-20260914.xlsx,2026-09-22,4bcaf7a01d8f6ad2603bb32df5dd7f7356ecf6df42739ab786fd5a763bca20c5
trade,trade-2026-risk,通商白書2026 解説資料：供給網リスクと新興国,経済産業省 通商政策局（RIETI掲載）,https://www.rieti.go.jp/jp/events/bbl/26072301_yoda.pdf#page=18,PDF物理p18・p21・p23（紙面17・20・22）。白書本文ではなく担当局の解説資料。,official_explanation,raw/trade/meti-rieti-presentation-2026.pdf,2026-09-22T09:53:22.025883+00:00,619b951aeb6440e257aa82207a837fe2065bc22532549319a5395157ac2afd2d
trade,trade-2026-strategy,通商白書2026 解説資料：通商戦略と国内外の循環,経済産業省 通商政策局（RIETI掲載）,https://www.rieti.go.jp/jp/events/bbl/26072301_yoda.pdf#page=55,PDF物理p55・p57（紙面54・56）。目標・政策方針の説明であり、因果効果の推計ではない。,official_explanation,raw/trade/meti-rieti-presentation-2026.pdf,2026-09-22T09:53:22.025883+00:00,619b951aeb6440e257aa82207a837fe2065bc22532549319a5395157ac2afd2d
trade,trade-world-products,貿易統計 世界・主要商品別輸入・年別CSV,財務省 関税局・税関,https://www.customs.go.jp/toukei/suii/html/data/d61ca.csv,1988–2025暦年。原油30301、LNG3050103、LPG3050101の数量列。CP932。,original_statistics,raw/trade/mof-products-import-annual.csv,2026-09-22T09:52:22.241062+00:00,4fc0e2c09c73e4c5d92df7e232fbf3be4c2cbf434818df0926a18079310096e1
trade,trade-middleeast-products,貿易統計 中東・主要商品別輸入・年別CSV,財務省 関税局・税関,https://www.customs.go.jp/toukei/suii/html/data/d62ca007.csv,1988–2025暦年。世界表と同一の概況品コード・数量単位を使用。CP932。,original_statistics,raw/trade-article/mof-middleeast-products-import-annual.csv,2026-09-22T13:49:37.668054+00:00,4387bfd8eb071c96bfc4f740d50f1579c3b3af5c496e5b8f3076f32ac5ee441b
trade,trade-middleeast-countries,貿易統計 中東・国別輸出入・年別CSV,財務省 関税局・税関,https://www.customs.go.jp/toukei/suii/html/data/d42ca007.csv,地域内の国別輸入金額の合計と、主要商品別表の中東総額を1988–2025の38年で照合。国別原油数量の表ではない。,original_statistics,raw/trade-article/mof-middleeast-countries-annual.csv,2026-09-22T13:49:37.886669+00:00,1c79902a27f7ccea585cb72051a189bfc276079e9cdd02bff2647321e00c67af
